regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Fortaleza (CE),Renda muito baixa,Despesas pessoais,0.21280000000000002
RM de Fortaleza (CE),Renda muito baixa,Educação,0.21688999999999997
RM de Fortaleza (CE),Renda muito baixa,Habitação,0.6069700000000001
RM de Fortaleza (CE),Renda muito baixa,Saúde e cuidados pessoais,0.6196499999999999
RM de Fortaleza (CE),Renda muito baixa,Transportes,0.21091000000000001
RM de Fortaleza (CE),Renda muito baixa,Vestuário,-0.00867
RM de Fortaleza (CE),Renda média,Alimentação e bebidas,0.75396
RM de Fortaleza (CE),Renda média,Artigos de residência,0.03234
RM de Fortaleza (CE),Renda média,Comunicação,0.021240000000000002
RM de Fortaleza (CE),Renda média,Despesas pessoais,0.29488
RM de Fortaleza (CE),Renda média,Educação,0.35442999999999997
RM de Fortaleza (CE),Renda média,Habitação,0.4126200000000001
RM de Fortaleza (CE),Renda média,Saúde e cuidados pessoais,0.63801
RM de Fortaleza (CE),Renda média,Transportes,0.3831800000000001
RM de Fortaleza (CE),Renda média,Vestuário,-0.00782
RM de Fortaleza (CE),Renda média alta,Alimentação e bebidas,0.6386
RM de Fortaleza (CE),Renda média alta,Artigos de residência,0.030379999999999997
RM de Fortaleza (CE),Renda média alta,Comunicação,0.02052
RM de Fortaleza (CE),Renda média alta,Despesas pessoais,0.37088
RM de Fortaleza (CE),Renda média alta,Educação,0.3703
RM de Fortaleza (CE),Renda média alta,Habitação,0.40963
RM de Fortaleza (CE),Renda média alta,Saúde e cuidados pessoais,0.6471899999999999
RM de Fortaleza (CE),Renda média alta,Transportes,0.39606
RM de Fortaleza (CE),Renda média alta,Vestuário,-0.0068000000000000005
RM de Fortaleza (CE),Renda média baixa,Alimentação e bebidas,0.8981600000000001
RM de Fortaleza (CE),Renda média baixa,Artigos de residência,0.0392
RM de Fortaleza (CE),Renda média baixa,Comunicação,0.02412
RM de Fortaleza (CE),Renda média baixa,Despesas pessoais,0.2432
RM de Fortaleza (CE),Renda média baixa,Educação,0.24334
RM de Fortaleza (CE),Renda média baixa,Habitação,0.49933
RM de Fortaleza (CE),Renda média baixa,Saúde e cuidados pessoais,0.5967
RM de Fortaleza (CE),Renda média baixa,Transportes,0.32683
RM de Fortaleza (CE),Renda média baixa,Vestuário,-0.0085
RM de Porto Alegre (RS),Renda alta,Alimentação e bebidas,0.60762
RM de Porto Alegre (RS),Renda alta,Artigos de residência,0.03016
RM de Porto Alegre (RS),Renda alta,Comunicação,0.03935999999999999
RM de Porto Alegre (RS),Renda alta,Despesas pessoais,0.5245200000000001
RM de Porto Alegre (RS),Renda alta,Educação,0.50286
RM de Porto Alegre (RS),Renda alta,Habitação,0.60931
RM de Porto Alegre (RS),Renda alta,Saúde e cuidados pessoais,0.51471
RM de Porto Alegre (RS),Renda alta,Transportes,0.04800000000000001
RM de Porto Alegre (RS),Renda alta,Vestuário,0.09516
RM de Porto Alegre (RS),Renda baixa,Alimentação e bebidas,1.15596
RM de Porto Alegre (RS),Renda baixa,Artigos de residência,0.043680000000000004
RM de Porto Alegre (RS),Renda baixa,Comunicação,0.0576
RM de Porto Alegre (RS),Renda baixa,Despesas pessoais,0.2232
RM de Porto Alegre (RS),Renda baixa,Educação,0.18733999999999998
RM de Porto Alegre (RS),Renda baixa,Habitação,1.05092
RM de Porto Alegre (RS),Renda baixa,Saúde e cuidados pessoais,0.55062
RM de Porto Alegre (RS),Renda baixa,Transportes,0.034
